code,online_legal,launch_date,regulator,tax_rate,min_age,college_props,retail_venues,source,note,fetched_at
ME,yes,2023-11,"Gambling Control Unit, Maine Department of Public Safety",10,21,restricted,1,https://www.maine.gov/dps/gcu/sports-wagering,Maine bars wagering on any event a Maine college team plays in (8 MRS 1202(11)).,2026-08-18
MI,yes,2021-01-22,Michigan Gaming Control Board,8.4,21,allowed,,https://www.michigan.gov/mgcb/detroit-casinos/resources/revenues-and-wagering-tax-information,"8.4% on adjusted gross receipts (MCL 432.414(1)), retail and online alike. A city may add a 1.25% municipal services fee.",2026-08-18
MO,yes,2025-12-01,Missouri Gaming Commission,10,21,restricted,8,https://www.mgc.dps.mo.gov/SportsWagering/Sports_Wagering_Launch122025.pdf,Mo. Const. art. III s.39(g) bars props on an individual athlete in a college game involving an in-state team; college game bets are allowed.,2026-08-18
NC,yes,2024-03-11,North Carolina State Lottery Commission,18,21,,0,https://ncgaming.gov/faqs-2/,No state-licensed retail sportsbooks; tribal casino sportsbooks sit outside the Commission's jurisdiction.,2026-08-18
NJ,yes,,New Jersey Division of Gaming Enforcement,19.75,,,,https://www.nj.gov/treasury/taxation/newlegislation.shtml,"19.75% is the online rate, raised on 1 July 2025 by P.L.2025 c.66. Retail is taxed separately at a lower rate.",2026-08-18
NV,yes,,Nevada Gaming Control Board,6.75,,,,https://www.gaming.nv.gov/divisions/tax-license-division/license-fees-and-tax-rate-schedule/,6.75% is the top tier of a graduated fee on gross gaming revenue. Mobile accounts require in-person registration at a licensed casino.,2026-08-18
NY,yes,2022-01-08,New York State Gaming Commission,51,,restricted,,https://gaming.ny.gov/sports-wagering,"No wagers on events involving any New York college team, wherever played, or on high school events.",2026-08-18
OH,yes,2023-01-01,Ohio Casino Control Commission,20,21,,,https://codes.ohio.gov/ohio-revised-code/section-5753.021,"Verified against the Ohio Revised Code: 20% of sports gaming receipts (5753.021), regulator in 3775.01, age 21 in 3775.12.",2026-08-18
OR,yes,,Oregon Lottery,,,,,https://www.oregonlottery.org/about/,"A lottery-run single-vendor model, so there is no gross-revenue tax rate. Separate tribal retail sportsbooks operate under compacts.",2026-08-18
PA,yes,,Pennsylvania Gaming Control Board,,,,,https://gamingcontrolboard.pa.gov/,,2026-08-18
TN,yes,2020-11-01,Tennessee Sports Wagering Council,,21,,0,https://www.tn.gov/swac/about/faqs.html,"Tennessee taxes handle rather than revenue, at 1.85% of gross handle. Online only: the regulator states physical sportsbooks and kiosks are not legal.",2026-08-18
VA,yes,2021-01-21,Virginia Lottery,15,21,restricted,,https://www.valottery.com/aboutus/casinosandsportsbetting/sportsbetting,"15% of adjusted gross revenue. No wagers on Virginia college teams, and college player props are banned outright.",2026-08-18
WV,yes,2019-08,West Virginia Lottery Commission,10,21,,5,https://code.wvlegislature.gov/29-22D-16/,Tax and the age-21 requirement are quoted from WV Code 29-22D-16 and 29-22D-15.,2026-08-18
WY,yes,2021-09-01,Wyoming Gaming Commission,,,,0,https://gaming.wyo.gov/OSW,"Online only, no retail sportsbooks. The commonly quoted 10% rate and age 18 come from statute text that could not be retrieved directly, so neither is stated here.",2026-08-18
